# Time[s]    Strain
0.000000000000000000e+00 1.961365656338478986e-23
2.441406250000000000e-04 -4.749099855649707326e-23
4.882812500000000000e-04 -1.062210594505550509e-22
7.324218750000000000e-04 -1.500865431961804848e-22
9.765625000000000000e-04 -1.743194272426560197e-22
1.220703125000000000e-03 -1.769398536203905526e-22
1.464843750000000000e-03 -1.593858125281238309e-22
1.708984375000000000e-03 -1.261443813152333944e-22
1.953125000000000000e-03 -8.334567616491483151e-23
2.197265625000000000e-03 -3.696682189644154480e-23
2.441406250000000000e-03 8.461411934868585855e-24
2.685546875000000000e-03 5.005668705605445196e-23
2.929687500000000000e-03 8.565183216887400298e-23
3.173828125000000000e-03 1.123224022743920014e-22
3.417968750000000000e-03 1.254987332703571169e-22
3.662109375000000000e-03 1.196410832651101662e-22
3.906250000000000000e-03 9.049692899006169855e-23
4.150390625000000000e-03 3.790556157492686050e-23
4.394531250000000000e-03 -3.232878959735153065e-23
4.638671875000000000e-03 -1.087049503433863571e-22
4.882812500000000000e-03 -1.767531926843129165e-22
5.126953125000000000e-03 -2.232932038493720710e-22
5.371093750000000000e-03 -2.404323779270850823e-22
5.615234375000000000e-03 -2.277105085608355096e-22
5.859375000000000000e-03 -1.918126053966686534e-22
6.103515625000000000e-03 -1.443283508313052412e-22
6.347656250000000000e-03 -9.862475559763288210e-23
6.591796875000000000e-03 -6.684366532925854159e-23
6.835937500000000000e-03 -5.743074430312130422e-23
7.080078125000000000e-03 -7.310437489701865218e-23
7.324218750000000000e-03 -1.095079595840670156e-22
7.568359375000000000e-03 -1.555699657961726137e-22
7.812500000000000000e-03 -1.965208308918538787e-22
8.056640625000000000e-03 -2.190736842626659115e-22
8.300781250000000000e-03 -2.165564448291273267e-22
8.544921875000000000e-03 -1.913716243137198780e-22
8.789062500000000000e-03 -1.535799200539544397e-22
9.033203125000000000e-03 -1.166103604880704097e-22
9.277343750000000000e-03 -9.240541834158296647e-23
9.521484375000000000e-03 -8.799076759698252977e-23
9.765625000000000000e-03 -1.042891889226762770e-22
1.000976562500000000e-02 -1.370068911584804373e-22
1.025390625000000000e-02 -1.788243240826073537e-22
1.049804687500000000e-02 -2.218461439155262283e-22
1.074218750000000000e-02 -2.594689428562194447e-22
1.098632812500000000e-02 -2.873675734146152390e-22
1.123046875000000000e-02 -3.036549090706118889e-22
1.147460937500000000e-02 -3.083449161999529140e-22
1.171875000000000000e-02 -3.024095870261267067e-22
1.196289062500000000e-02 -2.869617295674000389e-22
1.220703125000000000e-02 -2.630160974850987116e-22
1.245117187500000000e-02 -2.318247948677066317e-22
1.269531250000000000e-02 -1.953748230192906167e-22
1.293945312500000000e-02 -1.565851751125819356e-22
1.318359375000000000e-02 -1.189587655446562201e-22
1.342773437500000000e-02 -8.576765334696320147e-23
1.367187500000000000e-02 -5.918290185316326766e-23
1.391601562500000000e-02 -3.986123599853447172e-23
1.416015625000000000e-02 -2.716937086430621957e-23
1.440429687500000000e-02 -1.973858902666054153e-23
1.464843750000000000e-02 -1.589491772403953749e-23
1.489257812500000000e-02 -1.379845481039776310e-23
1.513671875000000000e-02 -1.152491999866891688e-23
1.538085937500000000e-02 -7.470918804526090298e-24
1.562500000000000000e-02 -1.138440122684637448e-24
